river,station,target,n,point_dSE,point_DM,point_p,point_sig5,crps_n,crps_d,crps_DM,crps_p,crps_sig5
han,S01009,toc,371,0.3905391779125015,3.3600948333653964,0.0008602911479992869,True,337,0.05680479508241189,3.265382627517038,0.001205781263819227,True
han,S01010,toc,404,0.011635899815378624,1.7157588095441612,0.08697476436274379,False,370,0.006994353753307931,1.4305969557166762,0.15339201475231584,False
han,S01011,toc,336,0.664800313817285,5.162570497972924,4.1851739868574094e-07,True,302,0.16268153240640867,6.948253209973058,2.2931450869284906e-11,True
han,S01012,toc,385,0.24494299506772166,1.283467556155378,0.20010230164917958,False,351,0.06953110058700626,1.6471457822528741,0.10042556365647988,False
han,S01013,toc,341,0.02799845395910129,0.19275342384089425,0.8472671654859424,False,308,-0.036906374069928485,-1.1974824150072958,0.2320423452614163,False
han,S01014,toc,315,0.06679588945533729,9.235480291384656,3.966127477377874e-18,True,281,0.05718033317857537,5.333097772621493,1.9924937148233355e-07,True
han,S01015,toc,338,0.06091737662757135,1.4182973656641777,0.15702802677314517,False,304,-0.0031221159821495648,-0.2182305882854246,0.8273963564805329,False
han,S01016,toc,365,0.44350171940800825,2.5962180212383497,0.00980741029477567,True,331,0.06324796962102096,2.3329863840285854,0.02024938927169037,True
han,S01017,toc,213,0.33267899413925933,1.067739345576779,0.28685244749796573,False,179,0.024420525539323692,0.6182497207332088,0.5372010151037233,False
han,S01018,toc,338,0.03398370895271981,2.7021324167942145,0.0072383251400267995,True,304,0.024474703841526363,2.866007985116258,0.004447813905786012,True
han,S01019,toc,316,0.030384892994515803,2.9165539891255237,0.003793351051115998,True,282,0.00966353220207117,1.5992130557596695,0.11089700716907654,False
han,S01020,toc,369,0.0477164189713169,3.2009569458888967,0.0014888299809001418,True,336,0.020302090501303056,2.723496391315624,0.006797978764784238,True
han,S01021,toc,337,0.18484488780716124,3.7158592245943214,0.0002371196784450295,True,305,0.043412230695514156,2.9042581805554577,0.0039510389826970735,True
han,S01022,toc,327,2.4041870163082963,8.039161417713997,1.6836288303217704e-14,True,293,0.28142701071355464,5.337568858972955,1.8944431495123517e-07,True
han,S01023,toc,332,1.1537571914070917,4.412642935219416,1.3834638082986742e-05,True,298,0.08225489807171457,3.3492154365345734,0.0009149918156292899,True
nak,S02001,toc,411,-0.12795902425996059,-0.992147685061948,0.3217106530062914,False,379,-0.0337832315303893,-1.0839732945693221,0.27906754265555817,False
nak,S02002,toc,324,0.130347051420858,1.7403833358098633,0.08274408530538264,False,290,0.06617727417451101,2.7993869263652305,0.005464674766195671,True
nak,S02003,toc,403,0.16657979775365833,1.7385866607763436,0.08287310147129086,False,369,0.035222881960967116,1.1629712557966023,0.2455947327967031,False
nak,S02004,toc,173,0.04574162996292031,0.39342334180889,0.6944940703116069,False,139,-0.026132547215670016,-0.7620944126007336,0.4473042089602096,False
nak,S02005,toc,381,0.16555820495948123,2.010557905070784,0.04507821218062607,True,347,0.07945323381371647,4.262175166247235,2.6138093738652666e-05,True
nak,S02006,toc,357,0.05872166089749482,1.5442188979408196,0.12342374394726913,False,323,0.03961874923305421,2.7520031888077616,0.006258811983203371,True
nak,S02007,toc,425,0.002491849420666832,0.06779003339206288,0.9459847331350428,False,391,-0.016143324783222068,-1.3989290466339137,0.16262902185414746,False
