mode,river,station,target,nse,rmse,mae,r2,pbias,n_test,crps,cov80,cov90,calib_err
zeroshot,yeong,S04008,do,0.6997363508940965,1.047391919544482,0.7097662645357334,0.7156059886641144,-0.9868338447864413,432,0.43338062738262606,0.6851851851851852,0.8078703703703703,0.0527116402116402
zeroshot,yeong,S04008,toc,0.4879221646759738,0.2602458383416902,0.15298826683863442,0.5128413501479491,0.7243299728806737,422,0.0951459659471066,0.7654028436018957,0.8744075829383886,0.014556533513879493
zeroshot,yeong,S04008,tn,0.8124935848170143,0.15657063534204854,0.11227869499951403,0.8201388030108572,-1.2696700026060608,412,0.06936796582341319,0.8859223300970874,0.9466019417475728,0.04112343966712899
zeroshot,yeong,S04008,tp,0.526756742370094,0.0021443361010333676,0.0015111295592992891,0.5844376388207272,2.9958311351402074,410,0.0009444898639103519,0.824390243902439,0.8902439024390244,0.027177700348432043
zeroshot,yeong,S04008,chl-a,0.3565995573940023,16.840614809647057,7.710355077962971,0.4252144996250356,2.224445878840027,424,4.759148340188356,0.7240566037735849,0.8561320754716981,0.06907008086253368
lora,han,S01001,do,0.8322081727953758,0.7829744256025732,0.5908630540451432,0.8426726342939398,-0.8769240372206897,391,0.34761183469650175,0.6828644501278772,0.8132992327365729,0.06729996346364633
lora,nak,S02020,do,0.7857476258818799,1.4068074970467885,1.045354371194006,0.8081878278318418,-0.2786556743073028,377,0.6359005433443139,0.7639257294429708,0.8620689655172413,0.02330428192497158
lora,geum,S03009,do,0.9580225013851256,0.6250512465903671,0.4638644585352743,0.9585519822304769,0.04080684161201818,433,0.2867091966914797,0.6235565819861432,0.7598152424942263,0.07228637413394919
lora,yeong,S04008,do,0.7024100961928743,1.0427181579601181,0.7047355688122552,0.7201598845824096,-1.0894339435995593,432,0.42746099311808533,0.6944444444444444,0.8287037037037037,0.04775132275132273
lora,han,S01001,toc,0.717892254819787,0.17943468389768885,0.12123543993177055,0.7320603685969151,1.8203802715083655,376,0.08366032005314886,0.7819148936170213,0.8537234042553191,0.024088145896656536
lora,nak,S02020,toc,0.2331031942418449,0.5870308493929093,0.33853997252782186,0.32587685648247733,2.7043987675614436,387,0.227377827778297,0.7364341085271318,0.8320413436692506,0.027279438907345886
lora,geum,S03009,toc,0.7100255440118193,0.12346721054690912,0.0818821493436196,0.7275090150522893,0.6729875286981987,420,0.05052145475901619,0.7238095238095238,0.830952380952381,0.03537414965986394
lora,yeong,S04008,toc,0.4832431805442844,0.26143210058910593,0.15294230612077783,0.5116338534943248,0.6417960768025535,422,0.09493953174599021,0.7725118483412322,0.8791469194312796,0.013202437373053492
lora,han,S01001,tn,0.7136642135622078,0.16004571756001854,0.10631994648059791,0.7373339004244825,-0.6674816985908959,384,0.06517779836446991,0.7526041666666666,0.8463541666666666,0.041145833333333326
lora,nak,S02020,tn,0.32252676277247194,0.5626580255915141,0.31598517340028703,0.3868812831000048,1.6255460341152987,373,0.22165750171079932,0.7640750670241286,0.8552278820375335,0.027422443508234393
lora,geum,S03009,tn,0.7295463563774806,0.1352508342291241,0.10134016693889336,0.7512482186004222,1.0371112656876584,424,0.06255356017578037,0.8372641509433962,0.9009433962264151,0.02587601078167117
lora,yeong,S04008,tn,0.8181992866664805,0.15417005946114776,0.10993916944736701,0.8261675575609839,-1.1417711498811756,412,0.06853885534406338,0.8956310679611651,0.9490291262135923,0.043550624133148405
lora,han,S01001,tp,0.08359697057428628,0.002710335894844754,0.0017482459657239392,0.3370176118808377,-3.643399012039293,363,0.0010909552767876779,0.8319559228650137,0.8953168044077136,0.031129476584022042
lora,nak,S02020,tp,0.4506697289556345,0.014113889856222002,0.008030464618627024,0.49348352011757535,11.061378907254376,371,0.00533695352219294,0.8328840970350404,0.894878706199461,0.03966114747785907
lora,geum,S03009,tp,0.7889164740773542,0.006047854322089733,0.003685019639972566,0.7976941897867322,0.20802835144712742,428,0.0022987145326879717,0.7990654205607477,0.9018691588785047,0.016021361815754354
lora,yeong,S04008,tp,0.5381395936482319,0.0021183904323130963,0.001491916639497447,0.5932412893963602,3.338903489238106,410,0.0009345787117175038,0.824390243902439,0.8902439024390244,0.027526132404181173
lora,han,S01001,chl-a,0.34598068917834424,8.501223163115982,4.591269668487393,0.40890966077348556,8.801145728343576,402,2.9340261831181182,0.763681592039801,0.8731343283582089,0.06183368869936033
lora,nak,S02020,chl-a,0.11854145934420746,12.35955421979086,7.646171360290346,0.2785010424146968,3.815475278989827,378,4.9564342994165695,0.7301587301587301,0.8412698412698413,0.025170068027210883
lora,geum,S03009,chl-a,0.23158018208741027,1.3554543604659455,0.8600105848143949,0.30930541593855604,1.3655688790179843,425,0.5450237019674189,0.7364705882352941,0.8682352941176471,0.025210084033613436
lora,yeong,S04008,chl-a,0.34935631016677937,16.935143302306436,7.57923475354363,0.43331435092514636,0.8421480350291799,424,4.687807659505066,0.7570754716981132,0.8820754716981132,0.0589622641509434
