mode,river,station,target,nse,rmse,mae,crps,cov80,cov90,calib,n
zs512,han,S01010,tp,0.6102579730850769,0.004020064113388759,0.002435175962827033,0.0015317468700207838,0.9046454767726161,0.9388753056234719,0.04460356269647224,409
zs512,han,S01010,chl-a,0.432831866111803,2.7529927384698785,1.5086311654523359,0.9529634451292672,0.84375,0.9244791666666666,0.038244047619047615,384
zs512,han,S01011,do,0.7275722545442501,1.0873416986643427,0.8450611240546629,0.5056492376039878,0.7769028871391076,0.910761154855643,0.022647169103862042,381
zs512,han,S01011,toc,0.7086434622477498,0.40302492832418496,0.2766122826630142,0.1808017958669181,0.8571428571428571,0.8979591836734694,0.027530195751770094,343
zs512,han,S01011,chl-a,0.5737533482884682,5.856440733149029,2.8356494937738947,1.8498797444327908,0.6816976127320955,0.8249336870026526,0.04334975369458127,377
zs512,han,S01012,do,0.8053522484759243,0.7495850940927917,0.5553449352739849,0.3435897373492071,0.7659033078880407,0.8854961832061069,0.017484551072337318,393
zs512,han,S01012,toc,0.7478012915705354,0.3361686418893752,0.1964119096321717,0.1242422180485918,0.772609819121447,0.8552971576227391,0.023181985972683648,387
zs512,han,S01012,tn,0.6352825638174867,0.15098529933531465,0.11157682245981629,0.07005098771528535,0.8459595959595959,0.9141414141414141,0.03059163059163059,396
zs512,han,S01012,tp,0.811545646056259,0.0069521823472203205,0.003477619504144805,0.00222623720189007,0.8425655976676385,0.892128279883382,0.028571428571428577,343
zs512,han,S01012,chl-a,0.6001557301507219,10.813507365433042,6.19793874363115,3.7555585661285726,0.7182741116751269,0.8401015228426396,0.05293691080493111,394
zs512,han,S01013,do,0.7314294368608782,1.0943844106941552,0.8495011311700584,0.5308247427298598,0.9150485436893204,0.9757281553398058,0.041816920943134536,412
zs512,han,S01013,toc,0.1638643619948027,1.0736658474154286,0.8067780819231845,0.5000103370213075,0.7676470588235295,0.8911764705882353,0.011344537815126066,340
zs512,han,S01014,do,0.935115692335381,0.5115695998865248,0.3872086236851689,0.249316648859605,0.8407079646017699,0.9262536873156342,0.022924568057311422,339
zs512,han,S01014,toc,0.8843469606230528,0.10720518466083144,0.058803509640126074,0.03977394859066869,0.7049689440993789,0.8385093167701864,0.031233362910381535,322
zs512,han,S01014,tn,-0.02511748272646752,0.5167860003434228,0.36838742105935063,0.22714573593372342,0.7534246575342466,0.8732876712328768,0.025342465753424637,292
zs512,han,S01014,tp,0.5470125556466711,0.006810627660240863,0.003734828445253242,0.002448381837481231,0.8210862619808307,0.8945686900958466,0.030351437699680527,313
zs512,han,S01014,chl-a,0.38180036641933,0.9795149192746537,0.6166446047282398,0.3999219505703759,0.827893175074184,0.9080118694362018,0.015260703688003406,337
zs512,han,S01015,do,0.8553226256823636,0.7531781834046017,0.5729838272150515,0.3387472217114998,0.7970297029702971,0.905940594059406,0.025813295615275823,404
zs512,han,S01015,toc,0.10532109280355684,0.7508994504602279,0.2748961650101176,0.21719959166972003,0.7736389684813754,0.8653295128939829,0.030495292672943097,349
zs512,han,S01015,tn,0.4417114574796507,0.4729873723959018,0.22966539044380724,0.16996499855819738,0.7900262467191601,0.8766404199475065,0.033145856767904,381
zs512,han,S01015,tp,-0.014300975423343187,0.007678295023737447,0.004021736853739183,0.00305952819658039,0.8357771260997068,0.8826979472140762,0.021449518223711755,341
