river,station,target,horizon,n,leg_crps,chr_crps,seas_crps,persist_crps,crps_clim,leg_crps_skill,chr_crps_skill,leg_crps_skill_seas,chr_crps_skill_seas,leg_crps_skill_persist,chr_crps_skill_persist,leg_cov80,chr_cov80,leg_cov90,chr_cov90,leg_nse,chr_nse
nak,S02007,do,5,396,0.6081622328973416,0.5862786848168967,0.7402018489487424,0.7206800883712537,1.4374353915047655,0.5769116048682419,0.592135626907616,0.1783832561873867,0.20794755423868794,0.1561273265204315,0.18649246138894437,0.7702020202020202,0.7550505050505051,0.8712121212121212,0.8914141414141414,0.631860555263289,0.7197137004211154
nak,S02007,toc,1,395,0.16064167835609325,0.09003114569175671,0.2909490153289754,0.19136411895987032,0.33190520952738417,0.5160013348846235,0.7287444031988639,0.4478700050781884,0.6905604042345401,0.16054441538342756,0.5295296412874739,0.7620253164556962,0.9670886075949368,0.8658227848101265,0.9848101265822785,0.3339964859228609,0.9510627161268348
nak,S02007,toc,2,394,0.1862276776672247,0.18867037199321748,0.2914255122468779,0.22031669695243233,0.3308533606331971,0.43712925475256903,0.42974624277010676,0.36097675103522175,0.3525948687931362,0.1547273527460683,0.14364015708735633,0.7436548223350253,0.8756345177664975,0.8451776649746193,0.9416243654822335,0.20186329356818278,-0.04779917365035824
nak,S02007,toc,3,393,0.2048897689729548,0.21493782238246886,0.29051892129923623,0.24157026790704803,0.32857397522914533,0.3764272753797192,0.34584648028629583,0.2947455261892663,0.2601589548066592,0.15184194334795886,0.11024719952219808,0.7175572519083969,0.8396946564885496,0.8651399491094147,0.9287531806615776,0.15303913958231075,-0.01462859558022811
nak,S02007,toc,4,392,0.21464416660426558,0.2276853205573803,0.29020897842853727,0.25412073842024563,0.325807509438898,0.3411933108174108,0.30116613656481594,0.26038068233949974,0.21544356832003786,0.1553457307789523,0.1040269992413938,0.75,0.8443877551020408,0.8647959183673469,0.9387755102040817,0.11100240238467296,0.07595413619325342
nak,S02007,toc,5,391,0.22149696368812855,0.2376402884713506,0.28955847907774995,0.26550644699139253,0.3231423623022329,0.31455299729175124,0.26459568229223007,0.23505274515323749,0.17930122706736107,0.16575674075699842,0.10495473400291977,0.7672634271099744,0.8542199488491049,0.8721227621483376,0.9411764705882353,0.07968984736542717,0.08923699651603045
nak,S02008,chl-a,1,383,0.5640557161377854,0.08401978548736289,2.5515456962185334,0.163369086801419,0.6013350918609449,0.06199434596073794,0.8602779271913971,0.7789356792732607,0.9670710245903561,-2.452646563565697,0.48570572846812843,0.7232375979112271,0.9895561357702349,0.835509138381201,1.0,-2.5510487712241625,0.9850768374547002
nak,S02008,chl-a,2,382,0.620366459974238,0.1388597923897594,2.5414546319516735,0.18373805920065772,0.5986005763793885,-0.03636128071660005,0.7680259627719584,0.7559010292078925,0.9453620809736336,-2.376363409263753,0.24425133805232702,0.7225130890052356,0.9528795811518325,0.8089005235602095,0.9790575916230366,-2.251559597466734,0.931693199402372
nak,S02008,chl-a,3,381,0.6509686520107569,0.16854407191557272,2.5377115320024757,0.2000132534889618,0.5962406050628496,-0.09178852712008512,0.7173220500509077,0.743482013695589,0.9335842274466173,-2.254627584199975,0.15733548164659883,0.7139107611548556,0.926509186351706,0.800524934383202,0.968503937007874,-2.077247099957086,0.9000958044758464
nak,S02008,chl-a,4,380,0.6905736777932917,0.18760220440895686,2.5345865255432747,0.2065775631527989,0.5927786147873859,-0.16497738036818732,0.6835206268764522,0.7275399080545214,0.9259831130173213,-2.342926827355864,0.09185585527411111,0.7052631578947368,0.9315789473684211,0.7947368421052632,0.9763157894736842,-2.295660363770464,0.8739820839933085
nak,S02008,chl-a,5,379,0.7376906396837057,0.20349717894161193,2.5303534661951175,0.21396445551801166,0.5873778895641109,-0.2559046787258896,0.6535498142556475,0.7084634026277095,0.9195775682487515,-2.4477251742479558,0.0489206328736157,0.6939313984168866,0.9445910290237467,0.7862796833773087,0.9841688654353562,-2.497698952266574,0.852353794514916
nak,S02008,do,1,378,0.5404012596529402,0.15950988986208298,0.8934758872272187,0.4866028712914411,1.3949348768227805,0.6125974992583145,0.8856506547277706,0.3951697327501448,0.8214726416880703,-0.11055912641600019,0.672196981824738,0.783068783068783,0.9841269841269841,0.8703703703703703,0.9920634920634921,0.6611203746458728,0.9771448780598719
nak,S02008,do,2,377,0.6458286749838444,0.3944293375788865,0.8976755823348627,0.623985578375411,1.3980473004310536,0.538049481741627,0.7178712498087341,0.28055448127035165,0.5606103749051834,-0.03500577155213014,0.36788709347127835,0.7374005305039788,0.8196286472148541,0.8381962864721485,0.9230769230769231,0.5063783733016411,0.8133762118146568
nak,S02008,do,3,376,0.6754034801802961,0.5024050836788763,0.9070472591110104,0.7017616096555658,1.4008379444402623,0.5178575203071263,0.6413538870267939,0.25538225996928376,0.4461092532584472,0.03755994786920114,0.28408012526438486,0.7367021276595744,0.7978723404255319,0.8377659574468085,0.901595744680851,0.41667160053597985,0.7225044281375858
nak,S02008,do,4,375,0.6847124506064912,0.5608824589955704,0.9170100846755344,0.7553812506921356,1.4035002220573682,0.5121394070014593,0.6003688134987382,0.25332069728681006,0.38835737101623324,0.09355381805001439,0.2574842723702119,0.7493333333333333,0.784,0.824,0.896,0.37568179100898713,0.6869888053157476
nak,S02008,do,5,374,0.7142192680899122,0.6130122655057956,0.9290502762936571,0.8380124937290058,1.406761060828137,0.4922952532753052,0.5642385316345582,0.2312372254608107,0.3401732057479818,0.147722410543351,0.2684926894371221,0.7245989304812834,0.7967914438502673,0.8422459893048129,0.8957219251336899,0.3152139677719811,0.6575458626204504
nak,S02008,toc,1,375,0.1337874464582104,0.04326024597661231,0.2568086046879091,0.11227253150918502,0.35971334541390204,0.628072051916037,0.8797368890308055,0.4790383031721317,0.831546742644449,-0.1916311555446244,0.6146853963734381,0.7413333333333333,0.9733333333333334,0.8666666666666667,0.9866666666666667,0.634048691106156,0.9841521408610918
nak,S02008,toc,2,374,0.1637420624307367,0.0968471309463698,0.254003617770965,0.14480088995347046,0.3582730434618026,0.5429685112544782,0.729683455917902,0.3553553927000249,0.6187175135682641,-0.13080839823120338,0.3311703334317203,0.7433155080213903,0.8770053475935828,0.8529411764705882,0.9331550802139037,0.5137822593088637,0.8719391167581307
nak,S02008,toc,3,373,0.17695669633200242,0.13423855045537184,0.2517635019661846,0.16357480819982367,0.3569572783510082,0.5042636554450786,0.6239366484541309,0.29713125631780324,0.4668069461736277,-0.08180897950882127,0.1793445950956858,0.7319034852546917,0.8203753351206434,0.871313672922252,0.9142091152815014,0.4768885104747489,0.7587629696642885
nak,S02008,toc,4,372,0.1912256542731264,0.15615657523673485,0.2507096844669029,0.1758717485344951,0.3564277777685462,0.4634939637131683,0.5618843845045702,0.2372625944636343,0.3771418301260331,-0.0873017176810511,0.11209971733404,0.7419354838709677,0.7956989247311828,0.8655913978494624,0.9005376344086021,0.4329895106963547,0.706698044189616
nak,S02008,toc,5,371,0.20724148862676986,0.17592204672424566,0.2505145999701471,0.18939906588204306,0.3565309885717823,0.4187279780168538,0.5065729140993691,0.17273688379253715,0.29775730937354683,-0.09420544215270299,0.07115673509282683,0.7250673854447439,0.7978436657681941,0.8355795148247979,0.889487870619946,0.3820354495170969,0.6586161531740683
nak,S02009,chl-a,1,268,2.7217346653654206,2.329251570035404,7.498520242156384,3.109383963723044,8.254638853953072,0.6702781655841907,0.7178251391434349,0.6370304303422513,0.6893718367338073,0.12467077172851582,0.2508961269464909,0.7611940298507462,0.6082089552238806,0.8768656716417911,0.7388059701492538,0.8174640959244792,0.8532341315098433
nak,S02009,chl-a,2,267,3.4477016220965098,2.907250911380928,7.4877933351835395,3.7632286560097135,8.26605461642526,0.5829084391426991,0.6482903820156225,0.5395570540259842,0.611734621771627,0.0838447680847989,0.22745834039657042,0.7528089887640449,0.7228464419475655,0.8689138576779026,0.8239700374531835,0.7194351969508304,0.7791818969639668
nak,S02009,chl-a,3,266,3.7803645710404927,3.4098012898321257,7.501398445684678,4.386903175859795,8.277825279525487,0.5433142832344009,0.5880800603189843,0.49604535762058877,0.5454445841636797,0.13826122449133527,0.22273158236189383,0.7744360902255639,0.7368421052631579,0.8796992481203008,0.8233082706766918,0.6807094064327156,0.7079692761940418
nak,S02009,chl-a,4,265,4.180707196332467,3.807477318402239,7.499237443635864,4.934926522894073,8.293250400257525,0.4958903934454161,0.5408944461288656,0.4425156920614145,0.49228473601227174,0.15283293946984577,0.22846322012321363,0.7886792452830189,0.720754716981132,0.8679245283018868,0.8452830188679246,0.6172708027876991,0.6474830658992878
