river,station,target,n,nse,rsr,pbias,pers_nse,crps,crps_skill,cov80_raw,cov80_cal,cov90_raw,cov90_cal
geum,S03008,toc,396,0.8305424550006453,0.41165221364563886,0.11047471163314049,0.8612701390951698,0.05408737962537521,0.692091363905994,0.8207070707070707,0.8232323232323232,0.9166666666666666,0.8939393939393939
geum,S03008,tp,408,0.6831579948990741,0.5628872045986886,2.58082680070187,0.7119234900452873,0.0007194099130501808,0.551948454379714,0.8137254901960784,0.8088235294117647,0.8848039215686274,0.8946078431372549
geum,S03009,chl-a,416,0.33204700203887205,0.8172839151489083,-0.11751963580791647,0.14008168097538887,0.4923710374807473,0.35872491100341597,0.7475961538461539,0.7956730769230769,0.8653846153846154,0.8798076923076923
geum,S03009,do,425,0.958272940312082,0.20427202375244147,-0.38869302911189985,0.959931514482856,0.2855385649796678,0.8312724652662467,0.6094117647058823,0.8023529411764706,0.7458823529411764,0.9011764705882352
geum,S03009,tn,415,0.7510014994334562,0.4989974955513743,1.652913423128248,0.690364136655286,0.056625094101218534,0.6126292012456178,0.8337349397590361,0.8289156626506025,0.908433734939759,0.927710843373494
geum,S03009,toc,413,0.742953498437961,0.5069975360512504,0.17136142171485064,0.7648999840979009,0.04885221268478055,0.6256454038228587,0.7409200968523002,0.7796610169491526,0.8256658595641646,0.8765133171912833
geum,S03009,tp,421,0.8174164954260694,0.4272979107998664,1.1903600758748984,0.8366163541832384,0.0021272668322978644,0.6381195840239198,0.8194774346793349,0.828978622327791,0.9002375296912114,0.9073634204275535
geum,S03010,do,385,0.2718456213989109,0.853319622768098,-1.2690662216361162,0.24695737832341502,0.8516020498447434,0.3467978384159094,0.7038961038961039,0.7896103896103897,0.8077922077922078,0.8883116883116883
geum,S03010,tn,387,0.6854178596865832,0.5608762254842121,1.7580995689141274,0.6407743180949602,0.18236590131197547,0.5609887226059203,0.7054263565891473,0.7803617571059431,0.8217054263565892,0.8888888888888888
geum,S03010,toc,384,0.714228452655996,0.5345760444913371,0.0597400331217811,0.694143129622429,0.2743392473832152,0.5918076962062437,0.8072916666666666,0.8411458333333334,0.9192708333333334,0.921875
geum,S03010,tp,371,0.4839149804796482,0.718390575884979,2.6348596223731833,0.27004006968558636,0.006888758396420519,0.5151057750186627,0.7762803234501348,0.816711590296496,0.8598382749326146,0.8867924528301887
geum,S03011,do,400,0.7500454850054215,0.4999545129255046,-0.6873285590682674,0.7184015849540574,0.48298895894073224,0.6006270690713565,0.76,0.805,0.865,0.89
geum,S03011,tn,387,0.7954459912435801,0.45227647380382274,0.05170339115623839,0.7710467312028382,0.12225992044353864,0.6703754211228523,0.7131782945736435,0.7906976744186046,0.8191214470284238,0.9069767441860465
geum,S03011,toc,374,0.46716621334701125,0.7299546469836251,0.8892876625713043,0.35630523894082133,0.10325962236284567,0.4541720893760586,0.7807486631016043,0.7887700534759359,0.8556149732620321,0.8877005347593583
geum,S03011,tp,381,0.42397381667806255,0.7589638880223073,-1.4626649322539644,0.3506282761660987,0.0027912597554832197,0.43884571707483233,0.800524934383202,0.8057742782152231,0.8713910761154856,0.8740157480314961
geum,S03012,do,257,0.07150058402029058,0.963586745435879,-1.9354639103094133,-0.18239765704115318,0.6522487007281873,0.22779780173151354,0.7859922178988327,0.8054474708171206,0.9066147859922179,0.9260700389105059
geum,S03012,tn,425,0.7079999759697178,0.5403702656792676,0.8595048001716634,0.659215279941778,0.18649046358937155,0.6120403933144277,0.7717647058823529,0.7952941176470588,0.8541176470588235,0.8941176470588236
geum,S03012,toc,428,0.3560480576533883,0.8024661627424621,6.9079525486108615,-0.06625119239924415,0.2232800556046601,0.3609356944545564,0.7873831775700935,0.8317757009345794,0.8714953271028038,0.9205607476635514
geum,S03012,tp,425,0.07948632681558665,0.9594340379538415,8.607375845882192,-0.34948240606762115,0.0064960809675920815,0.21125760178070363,0.8094117647058824,0.8117647058823529,0.9223529411764706,0.9129411764705883
geum,S03013,chl-a,161,0.2900422585958985,0.8425899010812445,10.863497422104357,0.10230237773344064,3.8515919670365513,0.33035345279828543,0.6956521739130435,0.8322981366459627,0.8074534161490683,0.9130434782608695
geum,S03013,do,164,-0.1613335304270287,1.0776518595664504,-2.5932423053247358,-0.42449910817193226,0.7278480285602527,0.10470767683414361,0.676829268292683,0.7621951219512195,0.823170731707317,0.8963414634146342
geum,S03013,tn,153,0.5817931265811951,0.6466891629050273,-1.6079898342795151,0.500153387919391,0.24570872175544584,0.4996461590261265,0.7320261437908496,0.8300653594771242,0.8235294117647058,0.9150326797385621
geum,S03013,toc,142,-0.0988731656832662,1.0482715133414942,-2.417129945166692,-0.16129497936943515,0.37570528087204186,0.10503024876144196,0.6971830985915493,0.8098591549295775,0.7746478873239436,0.9295774647887324
