toc replay:  57%|█████▋    | 38/67 [00:16<00:12,  2.38it/s]toc replay:  60%|█████▉    | 40/67 [00:17<00:12,  2.23it/s]toc replay:  63%|██████▎   | 42/67 [00:18<00:11,  2.16it/s]toc replay:  66%|██████▌   | 44/67 [00:19<00:10,  2.24it/s]toc replay:  69%|██████▊   | 46/67 [00:20<00:09,  2.22it/s]toc replay:  72%|███████▏  | 48/67 [00:21<00:08,  2.26it/s]toc replay:  75%|███████▍  | 50/67 [00:22<00:07,  2.17it/s]toc replay:  78%|███████▊  | 52/67 [00:22<00:06,  2.27it/s]toc replay:  81%|████████  | 54/67 [00:23<00:05,  2.32it/s]toc replay:  84%|████████▎ | 56/67 [00:24<00:05,  2.03it/s]toc replay:  87%|████████▋ | 58/67 [00:25<00:04,  2.17it/s]toc replay:  90%|████████▉ | 60/67 [00:26<00:03,  2.25it/s]toc replay:  93%|█████████▎| 62/67 [00:27<00:02,  2.32it/s]toc replay:  96%|█████████▌| 64/67 [00:28<00:01,  2.26it/s]toc replay:  99%|█████████▊| 66/67 [00:29<00:00,  2.33it/s]toc replay: 100%|██████████| 67/67 [00:29<00:00,  2.27it/s]
[19:47:14] [tn] 어댑터 로드 models\chronos_lora512_tn\finetuned-ckpt | VRAM alloc=0.45 reserved=0.49 peak=1.11/15.93GB, smi_used=2.24GB
[VRAM-MON] VRAM alloc=0.45 reserved=0.49 peak=1.11/15.93GB, smi_used=2.24GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.63 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.66 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.84GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.74GB
[VRAM-MON] VRAM alloc=0.60 reserved=1.10 peak=1.11/15.93GB, smi_used=2.74GB
[VRAM-MON] VRAM alloc=0.69 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.82GB
[19:54:58] [tn] pooledδ(d5)={80: 0.032, 90: 0.059} α*=0.25 thr=3(high)
tn replay:   0%|          | 0/48 [00:00<?, ?it/s]tn replay:  10%|█         | 5/48 [00:00<00:04,  8.88it/s]tn replay:  21%|██        | 10/48 [00:01<00:04,  9.00it/s]tn replay:  31%|███▏      | 15/48 [00:01<00:03,  9.03it/s]tn replay:  42%|████▏     | 20/48 [00:02<00:03,  9.12it/s]tn replay:  52%|█████▏    | 25/48 [00:02<00:02,  9.18it/s]tn replay:  62%|██████▎   | 30/48 [00:03<00:01,  9.13it/s]tn replay:  73%|███████▎  | 35/48 [00:03<00:01,  9.19it/s][VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.82GB
tn replay:  83%|████████▎ | 40/48 [00:04<00:00,  8.99it/s]tn replay:  94%|█████████▍| 45/48 [00:04<00:00,  9.03it/s]tn replay: 100%|██████████| 48/48 [00:05<00:00,  9.07it/s]
