river,station,target,n,nse,nse_persistence,coverage80_raw,coverage80_cal,rmse,median_abs_q50_minus_persistence
han,S01012,tn,396,0.6519213393539549,0.6167152273747305,0.8005050505050505,0.8383838383838383,0.14750104622428936,0.024957679212093353
han,S01012,toc,387,0.7522312684446173,0.7691774895073434,0.7441860465116279,0.8036175710594315,0.33320308928025555,0.02975578930066969
han,S01012,tp,343,0.8366090148568499,0.8480984664165481,0.8221574344023324,0.8221574344023324,0.006473395065840196,0.0003076240924807889
han,S01013,do,412,0.7432594380709108,0.7071474754253539,0.9004854368932039,0.8058252427184466,1.0700102470898383,0.291039715210597
han,S01013,toc,340,0.199987201182395,0.028128716743198612,0.7529411764705882,0.8294117647058824,1.0502174715650099,0.4026161630948384
han,S01014,chl-a,337,0.4345040006292139,0.4299037167994577,0.8249258160237388,0.8071216617210683,0.9368314287928208,0.1255011955897012
han,S01014,do,339,0.9349173350382487,0.9356479651817828,0.7964601769911505,0.7817109144542773,0.5123509608318133,0.11409350236256977
han,S01014,tn,292,0.1698893323561398,0.1016105272353891,0.6815068493150684,0.863013698630137,0.4650417214170447,0.09128344555695844
han,S01014,toc,322,0.8861451885598916,0.8822638568241191,0.6832298136645962,0.7857142857142857,0.10636848119826729,0.008583135096541683
han,S01014,tp,313,0.6530072840052061,0.6744208370613942,0.7795527156549521,0.8019169329073482,0.005960795666809136,0.0004334318291512316
han,S01015,do,404,0.8719179451650602,0.8726597149824737,0.7772277227722773,0.7896039603960396,0.7086659491627005,0.14395288626352976
han,S01015,tn,381,0.489630189975783,0.43372842683467205,0.7611548556430446,0.7979002624671916,0.45223344448565944,0.046320100625355964
han,S01015,toc,349,0.11265634049257456,-0.38072073026253883,0.7535816618911175,0.8137535816618912,0.7478148970637611,0.043323998649914985
han,S01015,tp,341,0.07533519077008732,-0.22794352489270842,0.7888563049853372,0.8299120234604106,0.007331174185519002,0.0007149242058706777
han,S01016,do,382,0.8232561422839348,0.798734738196117,0.7670157068062827,0.7774869109947644,1.0360180887834214,0.21586644649505615
han,S01016,tn,379,0.8156636014423918,0.8005402988636704,0.7757255936675461,0.8073878627968337,0.44539278660166143,0.08752528480861521
han,S01016,toc,376,0.5273797118785082,0.7113861282475578,0.7313829787234043,0.8218085106382979,0.8186470890291582,0.1588893623063058
han,S01016,tp,373,0.1766525821593039,0.0654403736701964,0.8123324396782842,0.8230563002680965,0.013100061020723941,0.0025874392672752353
han,S01017,do,277,0.13920130895306582,-0.16111010671130122,0.8628158844765343,0.8014440433212996,0.9714035804162061,0.2631020446618395
han,S01017,tn,221,0.27236988291385267,0.038028266700195656,0.751131221719457,0.7963800904977375,0.6921816071445144,0.18860270579655936
han,S01017,toc,214,0.16275140422961565,-0.19586739973759215,0.7476635514018691,0.7990654205607477,1.313209366129116,0.37698237101236964
han,S01017,tp,225,-0.34137357382489997,-0.3446567574460928,0.7066666666666667,0.8133333333333334,0.03259097128231169,0.0030125242192298174
han,S01018,do,363,0.8791360819812721,0.8752018259467329,0.7630853994490359,0.8154269972451791,0.7015654278737122,0.17930724404074994
han,S01018,tn,356,0.7188766587830516,0.7073843047721142,0.7134831460674157,0.8117977528089888,0.2559485739557136,0.046576688687006484
han,S01018,toc,345,0.591302703375531,0.5175948683873841,0.7188405797101449,0.8144927536231884,0.23637329053215062,0.04234087963898969
han,S01018,tp,348,0.20904857987049075,0.17188241116240233,0.7701149425287356,0.7988505747126436,0.0072441323893883604,0.00047542496273914915
han,S01019,do,322,0.7939559869526543,0.7627814933390542,0.7484472049689441,0.8074534161490683,0.8400072419028763,0.13489651679992676
han,S01019,tn,305,0.3432137638124083,0.20556995404965261,0.7836065573770492,0.819672131147541,0.24311359149159037,0.044811051338911057
han,S01019,toc,318,0.05584862499774279,-0.20325044695933303,0.7232704402515723,0.8018867924528302,0.24338390143369606,0.030239605090834898
han,S01019,tp,311,0.33904695558689013,0.1700744703956416,0.8263665594855305,0.7909967845659164,0.003585281034090348,0.000366564083378762
han,S01020,chl-a,413,0.6342009516604169,0.6146616521768007,0.7215496368038741,0.8401937046004843,8.622771821511215,0.561224315202598
han,S01020,do,394,0.5154063698942676,0.49396243872327894,0.7309644670050761,0.8020304568527918,1.205739610798252,0.17588849501176362
han,S01020,tn,399,0.6952981570455544,0.6470970256847017,0.7593984962406015,0.8195488721804511,0.2807780103699682,0.04905027286572894
han,S01020,toc,371,0.054652600369408444,0.1492719208814255,0.7547169811320755,0.8113207547169812,0.25463644554091525,0.05404949188232422
han,S01020,tp,394,0.10256883009612783,-0.23890339455902643,0.7842639593908629,0.8223350253807107,0.018528857360647362,0.0011190018461396285
han,S01021,chl-a,349,0.2736278890894033,0.06737839475487328,0.7621776504297995,0.7965616045845272,2.5749796938821468,0.4309179335832596
han,S01021,do,371,0.8417407172727146,0.8088767654724116,0.8194070080862533,0.8086253369272237,0.8306640827767716,0.21885303656260113
han,S01021,tn,361,0.7180418112871445,0.7093455885751704,0.7673130193905817,0.8282548476454293,0.40971420644827483,0.05493199711754215
han,S01021,toc,333,0.6435536395146267,0.5819507877492928,0.7717717717717718,0.7807807807807807,0.3276631646898379,0.059945255517959595
han,S01021,tp,353,0.2216329468048318,0.22306627989334382,0.7337110481586402,0.830028328611898,0.02634560852848228,0.0009939067531377077
han,S01022,chl-a,364,0.3220620068567712,0.16345222405416826,0.7225274725274725,0.8296703296703297,7.773212756918591,1.1321377132249921
han,S01022,do,360,0.5115434043037038,0.4135712755028066,0.8472222222222222,0.8194444444444444,1.1722085576869365,0.31408766905466745
han,S01022,tn,358,0.603443290692197,0.5515500278780987,0.7597765363128491,0.8212290502793296,1.0120446992301162,0.19090536366338284
han,S01022,toc,331,0.8887828182265249,0.8951769255654269,0.8277945619335347,0.7915407854984894,0.5482880993309015,0.10698632399241115
han,S01022,tp,341,0.41680873302497945,0.38724878894510417,0.8299120234604106,0.8035190615835777,0.03787286555830827,0.007817347844441741
han,S01023,chl-a,346,0.6149811651558604,0.5267934631372004,0.6936416184971098,0.791907514450867,28.304041048382707,1.3478590475790435
han,S01023,do,354,0.5200218375309356,0.48646714722392703,0.7796610169491526,0.8135593220338984,1.3788340432588067,0.2605506181716919
han,S01023,tn,339,0.8046599638809963,0.7662028458903812,0.7050147492625368,0.7817109144542773,0.6378121982743673,0.08376903967423832
han,S01023,toc,332,0.629120879496647,0.5690509286651008,0.7831325301204819,0.8072289156626506,0.7426594718685812,0.1581070082528253
han,S01023,tp,345,-0.059764234670708793,-0.4453986766595037,0.7652173913043478,0.8,0.041185270102904674,0.004104486356178917
nak,S02001,chl-a,422,-0.24590580792405503,-0.3487831172592861,0.8601895734597157,0.8459715639810427,0.6088574677996239,0.04211818088184671
nak,S02001,do,427,0.39716275935368117,0.3094851736734159,0.775175644028103,0.8313817330210773,1.599645274518385,0.20583585898081402
